mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_units,param_model_type,param_learning_rate,param_epochs,param_dropout_rate,param_batch_size,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.791693925857544,0.005768683830700331,0.0,0.0,512,DNN,0.05,50,0.2,64,"{'units': 512, 'model_type': 'DNN', 'learning_rate': 0.05, 'epochs': 50, 'dropout_rate': 0.2, 'batch_size': 64}",,,,,,9
0.7835061550140381,0.007141082088508976,0.0,0.0,256,DNN,0.005,100,0.1,16,"{'units': 256, 'model_type': 'DNN', 'learning_rate': 0.005, 'epochs': 100, 'dropout_rate': 0.1, 'batch_size': 16}",,,,,,9
378.6543223063151,5.850997983046742,90.21533306439717,4.570167419868284,128,LSTM,0.005,150,0.2,64,"{'units': 128, 'model_type': 'LSTM', 'learning_rate': 0.005, 'epochs': 150, 'dropout_rate': 0.2, 'batch_size': 64}",-144863.93370244693,-270709.0937589518,-174126.5167752267,-196566.51474554182,53770.6004497665,8
2783.1074348290763,11.458003727285691,50.55944283803304,2.9571983894382887,512,LSTM,0.01,100,0.2,32,"{'units': 512, 'model_type': 'LSTM', 'learning_rate': 0.01, 'epochs': 100, 'dropout_rate': 0.2, 'batch_size': 32}",-132290.48893354108,-124908.94786592844,-140653.51085731696,-132617.64921892883,6431.852575875865,1
3076.0772428512573,6.671422997923776,8.522014617919922,4.31695684275539,512,GRU,0.005,150,0.3,32,"{'units': 512, 'model_type': 'GRU', 'learning_rate': 0.005, 'epochs': 150, 'dropout_rate': 0.3, 'batch_size': 32}",-122969.17017727235,-161169.62469937518,-133870.98960004825,-139336.59482556526,16067.011997354723,2
1334.1288029352825,2.5022627774937893,35.658770163853966,1.1263316231198621,256,GRU,0.005,150,0.2,32,"{'units': 256, 'model_type': 'GRU', 'learning_rate': 0.005, 'epochs': 150, 'dropout_rate': 0.2, 'batch_size': 32}",-128643.96670263763,-169694.49219627376,-130817.72720772753,-143052.0620355463,18859.933233096774,4
1204.5365175406139,11.193056096048034,92.90855113665263,1.1916564308975757,256,RNN,0.005,100,0.3,16,"{'units': 256, 'model_type': 'RNN', 'learning_rate': 0.005, 'epochs': 100, 'dropout_rate': 0.3, 'batch_size': 16}",-148735.13962654685,-198377.8782913444,-163689.97413866178,-170267.664018851,20793.426503830546,6
2738.8379360834756,129.5680116146243,15.785563389460245,21.31205961358669,256,LSTM,0.005,100,0.3,16,"{'units': 256, 'model_type': 'LSTM', 'learning_rate': 0.005, 'epochs': 100, 'dropout_rate': 0.3, 'batch_size': 16}",-132840.4351082157,-154254.06985574347,-144690.54840112693,-143928.35112169536,8758.67747987529,5
1193.6531374454498,228.4899679972562,84.10445833206177,12.715908287805046,256,GRU,0.005,150,0.3,64,"{'units': 256, 'model_type': 'GRU', 'learning_rate': 0.005, 'epochs': 150, 'dropout_rate': 0.3, 'batch_size': 64}",-139640.5521808428,-140945.3761772609,-146163.7034001214,-142249.87725274172,2818.293543895179,3
464.8573739528656,2.432295226724501,50.43378074963888,4.845901872693362,256,RNN,0.005,50,0.3,64,"{'units': 256, 'model_type': 'RNN', 'learning_rate': 0.005, 'epochs': 50, 'dropout_rate': 0.3, 'batch_size': 64}",-176672.3683997566,-203273.47340394682,-201587.02878614177,-193844.29019661507,12161.885750444511,7
